Date,Open,High,Low,Close,Adj Close,Volume
1990-11-19,9.150000,9.150000,9.150000,9.150000,2.468708,0
1990-11-20,9.050000,9.050000,9.050000,9.050000,2.441727,0
1990-11-21,9.030000,9.030000,9.030000,9.030000,2.436331,0
1990-11-23,9.010000,9.010000,9.010000,9.010000,2.430935,0
1990-11-26,9.070000,9.070000,9.070000,9.070000,2.447123,0
1990-11-27,9.210000,9.210000,9.210000,9.210000,2.484896,0
1990-11-28,9.230000,9.230000,9.230000,9.230000,2.490292,0
1990-11-29,9.220000,9.220000,9.220000,9.220000,2.487594,0
1990-11-30,9.305000,9.305000,9.305000,9.305000,2.510527,0
1990-12-03,9.390000,9.390000,9.390000,9.390000,2.533461,0
1990-12-04,9.440000,9.440000,9.440000,9.440000,2.546951,0
1990-12-05,9.600000,9.600000,9.600000,9.600000,2.590120,0
1990-12-06,9.590000,9.590000,9.590000,9.590000,2.587421,0
1990-12-07,9.590000,9.590000,9.590000,9.590000,2.587421,0
1990-12-10,9.600000,9.600000,9.600000,9.600000,2.590120,0
1990-12-11,9.530000,9.530000,9.530000,9.530000,2.571233,0
1990-12-12,9.610000,9.610000,9.610000,9.610000,2.592817,0
1990-12-13,9.620000,9.620000,9.620000,9.620000,2.595515,0
1990-12-14,8.890000,8.890000,8.890000,8.890000,2.428856,0
1990-12-17,8.840000,8.840000,8.840000,8.840000,2.415195,0
1990-12-18,9.620000,9.620000,9.620000,9.620000,2.628300,0
1990-12-19,8.990000,8.990000,8.990000,8.990000,2.456177,0
1990-12-20,9.030000,9.030000,9.030000,9.030000,2.467105,0
1990-12-21,9.070000,9.070000,9.070000,9.070000,2.478034,0
1990-12-24,9.070000,9.070000,9.070000,9.070000,2.478034,0
1990-12-26,9.060000,9.060000,9.060000,9.060000,2.475302,0
1990-12-27,8.990000,8.990000,8.990000,8.990000,2.456177,0
1990-12-28,8.970000,8.970000,8.970000,8.970000,2.450713,0
1990-12-31,9.010000,9.010000,9.010000,9.010000,2.461642,0
